1,1,0,4,13.3,13,30.3,22,43.6,7,50.7,21,70.716
2,10,0,6,7.732,9,14.232,2,22.932,17,39.532,21,54.532
3,2,0,14,11.912,17,21.712,19,28.262,21,35.662,8,49.662
4,13,0,19,5.6,4,22.8,10,31.7,11,44.0,6,50.7
5,22,0,13,11.9,2,21.1,6,33.012,19,43.812,7,61.012
6,13,0,6,12.5,9,23.7,5,32.4,10,41.4000625,8,56.4080625
7,18,0,22,8.4,20,20.3,11,32.5,6,41.0,17,51.8
8,12,0,16,7.5,22,14.8,18,27.8,10,36.2,17,43.996
9,2,0,14,16.6,17,31.2,11,46.2,4,58.9,13,77.9
10,11,0,16,14.2,21,24.252,20,30.352,7,41.852,12,54.552
11,18,0,15,8.4,12,15.1,14,22.2,9,29.7,8,53.188
12,7,0,3,9.9,9,29.3,20,43.9,22,52.3,19,65.3
13,2,0,13,11.912,3,22.312,19,32.812,17,51.636,12,58.186
14,10,0,2,10.1,21,24.3,4,33.2,19,42.0,7,46.5
15,2,0,1,8.1,10,17.5,21,29.8,4,39.2,13,48.7
16,21,0,19,9.4,17,19.5,15,26.05,18,34.33,16,42.73
17,6,0,7,6.5,13,26.516,18,32.116,4,50.316,10,62.616
18,7,0,3,20.016,17,33.216,1,36.516,21,49.816,2,59.216
19,13,0,7,9.2,8,23.7,5,33.4,4,44.2,14,61.2
20,10,0,3,8.3,15,27.8,11,43.1,16,49.8,2,67.584
21,20,0,11,16.6,10,27.8,2,40.1,19,48.2,12,58.3
22,16,0,4,10.052,19,27.052,21,31.552,13,40.952,10,54.252
23,14,0,17,7.1,16,14.6,11,23.272,18,29.972,7,43.472
24,7,0,21,14.5,5,19.15,22,37.89,13,49.79,1,58.99
25,18,0,10,13.5,6,21.296,15,27.796,5,43.096,14,52.0960625
26,7,0,13,20.016,22,28.416,4,36.616,9,45.516,14,54.216
27,11,0,3,16.432,14,21.832,22,28.932,7,41.932,15,53.132
28,4,0,17,8.9,3,16.5,2,35.9,14,44.1,1,50.2
29,4,0,19,12.9,15,17.7,9,25.7,20,40.0,5,52.2000625
30,11,0,17,6.7,3,10.0,21,29.4,8,34.05,15,41.35
31,14,0,18,10.4,10,19.3,20,30.46,11,40.06,19,56.492
32,5,0,17,11.4000625,20,19.0000625,8,26.8000625,21,43.6000625,14,57.6000625
33,16,0,20,7.724,10,15.824,6,28.124,19,35.424,18,39.924
34,9,0,2,14.6,18,25.8,15,34.0,14,49.3,4,59.7
35,10,0,18,15.6,14,29.1,7,36.2,15,50.7,3,58.98
36,15,0,7,11.5,9,26.0,10,33.9,19,49.5,12,59.6
37,8,0,11,16.8,1,23.5,17,30.2,12,36.75,22,42.75
38,11,0,14,16.628,1,31.228,6,41.428,12,57.856,3,64.556
39,2,0,20,8.2,4,24.8,14,43.8,1,50.1,17,65.0
40,6,0,22,11.18,13,27.88,20,38.18,3,46.28,21,65.78
41,4,0,7,12.3,13,29.4,20,35.0,5,43.1,3,58.212
42,9,0,8,10.5,2,19.2,15,24.1,10,32.38,12,47.388
43,20,0,5,12.2,9,22.2,2,30.1,7,35.0,21,47.7
44,10,0,20,10.1,22,24.6000625,14,33.5000625,16,47.9000625,17,64.2600625
45,11,0,18,7.5,17,24.9,16,32.4,21,38.4,19,43.05
46,16,0,12,7.724,22,22.12,9,38.82,11,49.32,20,60.52
47,22,0,16,8.9,6,16.2,14,32.8,18,39.1,21,48.0
48,18,0,16,13.5,6,23.552,20,34.352,7,46.5520625,5,66.5680625
49,6,0,15,7.3,13,15.4,11,27.9,21,42.1,16,51.5
50,7,0,13,20.016,15,33.316,8,40.316,10,49.116,1,65.716
