1,14,0,11,10.4,22,24.6,9,41.3
2,17,0,18,3.3,9,12.2,15,20.9
3,11,0,14,14.2,22,20.3,18,28.6
4,2,0,17,11.2,21,18.75,3,28.15
5,3,0,17,18.6,22,28.4,12,45.1
6,16,0,12,10.052,19,18.652,4,31.432
7,4,0,11,9.5,9,16.2,3,24.9
8,18,0,10,8.2,22,23.208,17,35.108
9,10,0,6,7.796,5,24.224,17,32.4240625
10,5,0,22,18.74,7,27.04,17,41.54
11,9,0,16,20.688,20,38.472,19,55.072
12,11,0,22,12.7,19,21.0,12,25.5
13,9,0,4,8.7,16,21.6,18,29.324
14,4,0,3,8.8,6,28.3,12,35.3
15,3,0,10,13.2,18,21.5,21,31.2
16,3,0,12,19.5,17,26.2,14,33.8
17,5,0,7,11.4000625,13,31.4160625,18,41.7160625
18,17,0,18,3.3,22,16.8,4,25.7
19,19,0,18,17.2,12,30.9,8,41.3
20,17,0,7,7.6,22,24.7,5,32.9
21,4,0,11,17.0,9,28.2,1,42.5
22,1,0,22,12.0,8,25.0,12,35.6
23,10,0,1,15.6,3,35.904,15,44.404
24,19,0,1,4.8,20,19.7,16,28.1
25,4,0,18,8.9,14,27.1,19,41.7
26,16,0,8,12.6,3,23.2,6,28.6
27,8,0,18,16.3,3,24.5,17,33.6
28,13,0,6,12.5,17,29.1,16,36.7
29,7,0,18,17.1,1,30.6,22,37.3
30,21,0,9,6.9,15,21.2,11,37.952
31,22,0,16,8.3,4,24.66,12,36.96
32,5,0,19,7.2,13,14.6,21,25.0
33,19,0,10,10.1,13,25.7,15,34.9
34,10,0,7,10.1,13,17.0,21,27.3
35,4,0,18,7.8,14,25.2,10,31.3
36,8,0,14,16.3,12,23.8,11,38.196
37,6,0,12,7.0,5,21.396,21,36.508
38,2,0,19,8.2,4,20.98,3,37.98
39,1,0,16,10.2,8,16.2,19,25.0
40,10,0,7,7.732,9,24.832,5,33.532
41,20,0,5,9.6,18,16.8,13,30.5
42,3,0,11,10.5,15,26.932,8,37.032
43,8,0,9,8.7,22,16.6,13,25.5
44,22,0,9,11.9,3,19.8,12,39.2
45,19,0,21,8.4,1,15.3,9,35.604
46,17,0,14,3.3,11,10.4,5,23.1
47,15,0,13,8.1,12,26.6,9,33.3
48,4,0,13,17.0,9,25.4,5,36.9
49,10,0,19,15.008,6,19.508,16,26.008
50,12,0,17,10.4,1,19.9,22,40.204
