1,16,0,8,7.724
2,19,0,14,4.5
3,22,0,18,13.0
4,1,0,7,6.7
5,16,0,14,7.724
6,21,0,12,9.4
7,7,0,5,12.7
8,6,0,15,16.428
9,8,0,12,7.3
10,21,0,22,7.5
11,7,0,18,9.0
12,6,0,9,11.2
13,15,0,20,8.1
14,18,0,9,13.7
15,21,0,6,6.1
16,6,0,13,7.9
17,1,0,7,14.9
18,3,0,16,19.5
19,6,0,8,16.428
20,18,0,4,8.2
21,11,0,1,12.7
22,11,0,19,8.8
23,2,0,11,11.2
24,14,0,5,9.8
25,3,0,11,10.5
26,5,0,3,10.8
27,18,0,5,13.4
28,12,0,9,14.1
29,13,0,1,5.6
30,1,0,14,11.0
31,16,0,2,17.784
32,2,0,12,11.912
33,1,0,16,20.0
34,22,0,15,13.0
35,7,0,4,17.1
36,20,0,16,7.8
37,17,0,8,7.5
38,22,0,19,8.9
39,3,0,12,10.5
40,5,0,20,10.8
41,22,0,16,13.0
42,20,0,18,9.6
43,14,0,18,10.4
44,1,0,2,13.3
45,19,0,15,4.5
46,16,0,17,6.0
47,17,0,5,7.55
48,12,0,1,10.4
49,19,0,12,17.2
50,17,0,14,9.5
